symbol,name,query
ANANTRAJ.NS,Anant Raj,"""Anant Raj"""
ARTEMISMED.NS,Artemis Medicare,"""Artemis Hospitals"" OR ""Artemis Medicare"""
ATHERENERG.NS,Ather Energy,"""Ather Energy"""
BANCOINDIA.NS,Banco Products,"""Banco Products"""
BHEL.NS,Bharat Heavy Electricals,"BHEL OR ""Bharat Heavy Electricals"""
DREDGECORP.NS,Dredging Corporation of India,"""Dredging Corporation"""
EPACKPEB.NS,EPACK Prefab,"""EPACK Prefab"" OR ""EPACK PEB"""
ETERNAL.NS,Eternal (Zomato),"Zomato OR ""Eternal Ltd"" OR Blinkit"
GRSE.NS,Garden Reach Shipbuilders,"GRSE OR ""Garden Reach Shipbuilders"""
ICICIAMC.NS,ICICI Prudential AMC,"""ICICI Prudential AMC"" OR ""ICICI Prudential Asset Management"""
KERNEX.NS,Kernex Microsystems,"Kernex"
NESCO.NS,Nesco,"""Nesco Ltd"" OR ""Nesco Limited"""
NEWGEN.NS,Newgen Software,"""Newgen Software"""
NWIL.BO,Nurture Well Industries,"""Nurture Well Industries"""
PATELSAI.BO,Patels Airtemp,"""Patels Airtemp"""
RAYMOND.NS,Raymond,"""Raymond Ltd"" OR ""Raymond Limited"" OR ""Raymond group"""
SAKSOFT.NS,Saksoft,"Saksoft"
SHILCTECH.NS,Shilchar Technologies,"Shilchar"
SOUTHWEST.NS,South West Pinnacle Exploration,"""South West Pinnacle"""
STLNETWORK.NS,STL Networks,"""STL Networks"""
SWIGGY.NS,Swiggy,"Swiggy"
THRIVE.BO,Thrive Future Habitats,"""Thrive Future Habitats"""
ZENTEC.NS,Zen Technologies,"""Zen Technologies"""
