symbol,quantity,avg_buy_price,exchange
ANANTRAJ.NS,200,460.80,NSE
ARTEMISMED.NS,362,236.67,NSE
ATHERENERG.NS,1,665.05,NSE
BANCOINDIA.NS,100,589.50,NSE
BHEL.NS,1,254.00,NSE
GROWW.NS,1,,NSE
DCMSRIND.NS,1000,,NSE
DREDGECORP.NS,1,898.45,NSE
EPACKPEB.NS,500,,NSE
ETERNAL.NS,98,337.35,NSE
GRSE.NS,26,2267.42,NSE
ICICIAMC.NS,6,2165.00,NSE
KERNEX.NS,50,1125.35,NSE
KRISHANA.BO,1,,BSE
MOREPENLAB.NS,2,,NSE
NESCO.NS,20,1150.00,NSE
NEWGEN.NS,200,447.78,NSE
NWIL.BO,165,27.96,BSE
PATELSAI.BO,151,,BSE
PPAP.NS,10,,NSE
RAYMOND.NS,300,364.37,NSE
SCHNEIDER.NS,20,,NSE
SHILCTECH.NS,6,4559.69,NSE
SOUTHWEST.NS,1,172.38,NSE
STLNETWORK.NS,1,31.22,NSE
SWIGGY.NS,49,565.23,NSE
THRIVE.BO,815,133.47,BSE
VEDANTAISL.NS,2500,,NSE
VENUSREM.BO,2,,BSE
ZENTEC.NS,1,1479.20,NSE
