date,stock,action,quantity,price,value,reasoning,review_date
2024-04-25,AXISBANK.NS,BUY,40,1108.6,44344.0,,
2024-05-03,POLYMED.NS,SELL,8,1671.5,13372.0,,
2024-05-23,ADANIPOWER.NS,BUY,50,694.74,34737.0,,
2024-05-23,TATAPOWER.NS,BUY,50,450.44,22522.0,,
2024-05-30,GAIL.NS,BUY,250,201.9,50475.0,,
2024-05-30,GMBREW.NS,BUY,50,629.95,31497.5,,
2024-05-30,PANAMAPET.NS,BUY,125,371.83,46478.75,,
2024-05-30,APOLLOTYRE.NS,BUY,40,467.15,18686.0,,
2024-05-31,PAYTM.NS,BUY,50,383.7,19185.0,,
2024-05-31,KNRCON.NS,BUY,110,304.7,33517.0,,
2024-06-04,HERITGFOOD.NS,BUY,100,436.68,43668.0,,
2024-06-11,PAYTM.NS,SELL,60,387.55,23253.0,,
2024-06-12,BLKASHYAP.NS,BUY,250,92.79,23197.5,,
2024-06-12,HCLTECH.NS,BUY,20,1451.3,29026.0,,
2024-06-12,GLENMARK.NS,BUY,20,1194.33,23886.6,,
2024-06-12,IOLCP.NS,BUY,150,394.5,59175.0,,
2024-06-12,NHPC.NS,BUY,250,103.41,25852.5,,
2024-06-12,KPEL.NS,BUY,125,439.1,54887.5,,
2024-06-12,SUZLON.NS,BUY,100,50.25,5025.0,,
2024-06-14,GLENMARK.NS,SELL,20,1225.5,24510.0,,
2024-06-14,HERITGFOOD.NS,SELL,100,587.0,58700.0,,
2024-06-14,MARUTI.NS,SELL,1,12790.1,12790.1,,
2024-06-14,GMBREW.NS,SELL,50,638.32,31916.0,,
2024-06-14,ADANIPOWER.NS,SELL,50,755.03,37751.5,,
2024-06-14,IOLCP.NS,SELL,150,403.42,60513.0,,
2024-06-18,HFCL.NS,BUY,400,124.23,49692.0,,
2024-06-18,PARAS.NS,BUY,25,1363.9,34097.5,,
2024-06-19,BLKASHYAP.NS,SELL,250,92.27,23067.5,,
2024-06-19,HCLTECH.NS,SELL,20,1445.0,28900.0,,
